"","X","Order_CultCham","A","callus","root","B","callus.1","root.1","C","callus.2","root.2","D","callus.3","root.3","E","callus.4","root.4","F","callus.5","root.5","G","callus.6","root.6","H","callus.7","root.7","I","callus.8","root.8"
"1","5_IBA_05_1",10,"G2_b25_1",1,2,"G1_b9_1",1,6,"G1_b1_1",1,4,"G1_b1_2",1,1,"G2_b5_1",0,0,"G1_b25_1",1,0,"G1_b20_1",1,5,"G1_b2_1",1,5,"G1_b18_1",1,1
"2","5_IBA_05_2",6,"G2_b25_1",0,0,"G1_b9_1",1,1,"G1_b1_1",0,0,"G1_b1_2",1,1,"G2_b5_1",0,0,"G1_b25_1",1,3,"G1_b20_1",0,0,"G1_b2_1",1,3,"G1_b18_1",0,0
"3","5_IBA_05_3",14,"G2_b25_1",1,0,"G1_b9_1",1,1,"G1_b1_1",1,0,"G1_b1_2",1,3,"G2_b5_1",0,0,"G1_b25_1",1,0,"G1_b20_1",1,1,"G1_b2_1",0,1,"G1_b18_1",1,0
"4","5_IBA_1_1",9,"G2_b25_1",1,0,"G1_b9_1",0,0,"G1_b1_1",1,0,"G1_b1_2",1,1,"G2_b5_1",0,0,"G1_b25_1",1,6,"G1_b20_1",1,0,"G1_b2_1",1,1,"G1_b18_1",1,1
"5","5_IBA_1_2",11,"G2_b25_1",1,0,"G1_b9_1",1,5,"G1_b1_1",1,4,"G1_b1_2",0,3,"G2_b5_1",0,0,"G1_b25_1",1,1,"G1_b20_1",1,2,"G1_b2_1",0,2,"G1_b18_1",1,0
"6","5_IBA_1_3",3,"G2_b25_1",1,0,"G1_b9_1",1,1,"G1_b1_1",0,1,"G1_b1_2",1,1,"G2_b5_1",0,0,"G1_b25_1",1,2,"G1_b20_1",1,2,"G1_b2_1",1,8,"G1_b18_1",1,0
"7","5_NAA_05_1",12,"G2_b25_1",1,0,"G1_b9_1",0,0,"G1_b1_1",1,0,"G1_b1_2",0,0,"G2_b5_1",1,1,"G1_b25_1",1,0,"G1_b20_1",1,0,"G1_b2_1",1,1,"G1_b18_1",1,0
"8","5_NAA_05_2",13,"G2_b25_1",1,0,"G1_b9_1",1,0,"G1_b1_1",0,0,"G1_b1_2",1,0,"G2_b5_1",1,0,"G1_b25_1",1,0,"G1_b20_1",1,0,"G1_b2_1",1,0,"G1_b18_1",1,0
"9","5_NAA_05_3",8,"G2_b25_1",1,0,"G1_b9_1",1,0,"G1_b1_1",1,0,"G1_b1_2",0,2,"G2_b5_1",1,1,"G1_b25_1",0,1,"G1_b20_1",1,0,"G1_b2_1",0,0,"G1_b18_1",1,0
"10","5_NAA_1_1",5,"G2_b25_1",1,0,"G1_b9_1",1,0,"G1_b1_1",1,0,"G1_b1_2",1,0,"G2_b5_1",1,0,"G1_b25_1",1,6,"G1_b20_1",1,1,"G1_b2_1",1,4,"G1_b18_1",1,3
"11","5_NAA_1_2",1,"G2_b25_1",1,0,"G1_b9_1",1,1,"G1_b1_1",1,0,"G1_b1_2",1,0,"G2_b5_1",0,0,"G1_b25_1",1,0,"G1_b20_1",1,1,"G1_b2_1",1,1,"G1_b18_1",1,0
"12","5_NAA_1_3",7,"G2_b25_1",1,0,"G1_b9_1",1,0,"G1_b1_1",1,0,"G1_b1_2",1,0,"G2_b5_1",0,0,"G1_b25_1",1,1,"G1_b20_1",1,0,"G1_b2_1",0,0,"G1_b18_1",1,3
"13","5_Control_1",4,"G2_b25_1",0,0,"G1_b9_1",0,0,"G1_b1_1",0,0,"G1_b1_2",0,0,"G2_b5_1",0,0,"G1_b25_1",0,0,"G1_b20_1",0,0,"G1_b2_1",0,0,"G1_b18_1",0,0
"14","5_Control_2",2,"G2_b25_1",0,0,"G1_b9_1",0,0,"G1_b1_1",0,0,"G1_b1_2",1,0,"G2_b5_1",0,0,"G1_b25_1",0,0,"G1_b20_1",0,0,"G1_b2_1",0,0,"G1_b18_1",0,0
"15","5_Control_3",15,"G2_b25_1",0,0,"G1_b9_1",0,0,"G1_b1_1",0,0,"G1_b1_2",0,0,"G2_b5_1",0,0,"G1_b25_1",0,0,"G1_b20_1",0,0,"G1_b2_1",0,0,"G1_b18_1",0,0
